dataset,description
NYC_housing_units.geojson,"This dataset provides annual counts of housing units for New York City sub-borough areas from 2005 through 2023 (2020 values are missing). Each row identifies a Sub-Borough Area and includes an Official_SBA_name, a numeric bor_subb code, and a MultiPolygon geometry suitable for mapping. short_name is a categorical identifier and long_name labels the metric (housing units). Year columns are integer time-series measurements that support trend analysis. The geometry and bor_subb code enable spatial joins, mapping, and boundary-based aggregation. As urban data, the table can be used for analyzing housing growth, comparing neighborhoods, informing planning and resource allocation, and supporting demographic or GIS studies."
NYC_HVI.geojson,"This dataset contains 178 ZCTA-level records (MODZCTA) with population estimates (pop_est, range 0–106,717) and a Heat Vulnerability Index (HVI, integer values 0–5). Geometry fields (the_geom and geometry) provide MultiPolygon shapes for each ZIP Code Tabulation Area (ZCTA 2020), suitable for mapping and spatial analysis. MODZCTA, ZCTA and label act as area identifiers and aggregation keys for spatial joins, filtering and grouping. The HVI is a climate and public-health score useful for risk assessment, ranking and targeting interventions. As urban data, the dataset can support mapping heat vulnerability, urban planning, emergency response, resource allocation and demographic analyses."
NYC_pedestrian_counts.geojson,"This dataset contains point-level geocoordinates and associated pedestrian or traffic count records for New York City locations. Each record includes an OBJECTID (primary key), a borough label, street name plus from/to street fields, a binary Iex flag, start_date and end_date timestamps, and a numeric count. the_geom and geometry store point coordinates (longitude, latitude). Temporal coverage runs from 2007-05-01 to 2025-05-01 at hourly resolution; counts range from 0 to 12,215 and OBJECTID values span roughly 0–112. The semantic profile makes these fields suitable for spatial indexing, mapping, geocoding and time-based aggregation. Typical uses include mapping and visualizing pedestrian/traffic flows, comparing volumes by borough or street, performing spatial joins with other urban datasets, and supporting routing, infrastructure planning, and time-series analyses. The Iex flag and address components enable categorical filtering and grouping."
NYC_vehicle_collisions_crashes.geojson,"This dataset contains detailed records of urban traffic crashes, with fields for crash date and time, borough and ZIP code, latitude/longitude and point geometry, on/off/cross street names, counts of injured and killed (persons, pedestrians, cyclists, motorists), contributing factors for up to five vehicles, vehicle type codes, and a unique collision_id. Temporal coverage runs from 2012-09-06 to 2025-09-25 (date resolution: day; time resolution: minute). Latitude/longitude and geometry are provided for mapping, spatial joins and proximity calculations. Borough and ZIP fields support administrative and postal aggregation; contributing factors and vehicle types are categorical features useful for grouping or predictive models, and collision_id serves as a primary key. The dataset is well suited to urban analyses such as trend and time-of-day studies, hotspot mapping, severity aggregation by area, road safety research, and building models for transportation planning and traffic-safety interventions."
NYC_automated_traffic_volume_counts.geojson,"This dataset provides point-level urban measurements tied to requests and street segments across New York City boroughs. RequestID is an integer primary key useful for joins and aggregation, and SegmentID serves as a segment-level grouping identifier. The spatial columns WktGeom and geometry store point coordinates for mapping, spatial indexing, and proximity joins, while street, fromSt, and toSt give street-level context suitable for geocoding and routing. Boro provides borough-resolution location that can be used as a spatial filter or aggregation key. Year, month, day, hour and minute fields enable time-series and peak-hour analyses, and Direction and Vol support segmentation and numeric volume aggregation. The dataset is well suited for traffic and transportation analysis, routing and infrastructure planning, hotspot detection, and broader urban mobility and planning research."
NYC_Issued_Licenses.geojson,"This dataset lists licensed businesses and their locations in an urban environment, including license identifiers (10479 unique License Number values) and business IDs (10094 unique Business Unique ID values), business names, DBA names, categories (37 types), license types and status. Address components (building number, street, apt/suite) plus latitude, longitude and point geometry are provided for geocoding and mapping. Temporal coverage spans initial issuance dates from 1997-03-20 to 2025-10-09 and expiration dates from 2022-12-30 to 2027-12-30. License Number and Business Unique ID are suitable as join keys; other fields support filtering, compliance monitoring, neighborhood-level analysis, urban planning, market research and spatial queries."
NYC_poverty_rate.geojson,"This dataset provides neighborhood (Sub-Borough Area) poverty rates (pop_pov_pct) for New York City from 2000 through 2023 (note: 2020 is missing). Values are floats representing proportions (range approximately 0–0.52). Sub-Borough Area and Official_SBA_name give neighborhood labels (55 unique values) and bor_subb provides borough codes; geometry contains MultiPolygon geoshapes for mapping. short_name and long_name are metadata identifiers for the indicator. The semantic profile shows annual columns are time-series measurements useful for trend analysis, ranking, and comparison, while the geographic columns support spatial grouping, mapping, and spatial joins. As urban data, this dataset can be used for mapping poverty patterns, targeting interventions, planning services, and evaluating neighborhood-level policy impacts."
NYC_bicycle_counts.geojson,"This dataset contains time-stamped pedestrian and bicycle counts tied to street-level locations, with point geometries (latitude/longitude and WKT) for mapping and spatial analysis. Each row has unique identifiers (countid and id), a date field with hourly resolution spanning 2013-12-21 to 2025-07-03, a numeric counts value (0–158) and a status flag (two values, e.g., 0 and 4). The name field labels specific infrastructure such as bridges, paths, and streets. Longitude and latitude coordinates cover the urban study area (longitudes to about -74.0041 and latitudes up to about 40.8422). Geom_wkt and geometry are provided as point geometries suitable for GIS joins and visualization. This urban dataset is useful for mobility and transportation planning, time series analysis of pedestrian and bicycle flows, site comparisons, seasonal and diurnal pattern detection, and spatial routing or proximity studies."
NYC_unemployment_rate.geojson,"This dataset provides annual unemployment rates by Sub-Borough Area (neighborhood-level) from 2000 through 2023, covering 55 sub-borough areas. The year columns are numeric floats (values roughly between 0 and 0.24 depending on year) with 2020 missing in this sample. short_name is a variable identifier (metric code) and long_name describes the indicator (""Unemployment rate""), while Official_SBA_name and bor_subb supply human-readable and numeric neighborhood identifiers. The geometry column contains multipolygon shapes for mapping and spatial joins. Semantically, the table combines temporal measurements (yearly rates) with spatial keys (neighborhood names, codes, and geometries). This urban dataset is suitable for trend analysis, spatial inequality mapping, policy evaluation, resource targeting, and geospatial modeling."
NYC_population.geojson,"This dataset provides annual population counts by Sub-Borough Area (neighborhood/community district) for 2000–2023, with 2020 missing, and includes MultiPolygon boundary geometry for each area. Columns include short_name (variable identifier), long_name (metric descriptor), Sub-Borough Area and Official_SBA_name (area names), bor_subb (numeric area code) and year columns containing integer counts. Year columns are time-series measures with values reaching up to roughly 265,000 in some areas. The geometry column contains multi-polygon boundaries suitable for mapping and spatial joins (high confidence). The Sub-Borough Area field is a neighborhood-level geographic key and bor_subb is provided as a join/aggregation code. Semantically the table is organized for aggregation, filtering and spatial grouping, making it useful for demographic trend analysis, urban planning, transportation modeling, service allocation, equity assessments and map visualizations."
NYPD_arrests_data.geojson,"This dataset contains arrest records with ARREST_KEY as the unique identifier and ARREST_DATE (day resolution) spanning 2006-04-12 to 2024-11-18. It includes offense codes and descriptions (PD_CD, PD_DESC, KY_CD, OFNS_DESC, LAW_CODE, LAW_CAT_CD) that can be used for grouping, filtering and reporting, plus demographic attributes (AGE_GROUP, PERP_SEX, PERP_RACE). Spatial fields include projected X/Y coordinates, Latitude and Longitude and point geometries (Lon_Lat, geometry) along with ARREST_BORO and ARREST_PRECINCT, making the data ready for mapping, spatial joins and proximity analyses. The dataset is well suited to urban data uses such as time-series crime trend analysis, hotspot mapping, predictive modeling, resource allocation and policy evaluation. Demographic fields are sensitive and should be handled ethically and in compliance with privacy requirements."
NYC_air_pollution.geojson,"This dataset links borough/community district polygons to annual transportation and air quality metrics for New York City neighborhoods. BoroCd is an integer aggregation key (47 unique values) and the_geom/geometry are high-confidence MultiPolygon geoshapes suitable for mapping and spatial joins. Annual vehicle miles traveled (total, cars, trucks) and pollutant concentrations (PM2.5, NO2, O3) are numeric; VMT values range up to about 73.6 and PM2.5, NO2 and O3 reach up to about 14.1, 34.5 and 35.9 respectively. Outdoor Air Toxics - Benzene and Formaldehyde are missing in this profile. Temporal coverage is quarterly from 2008-11-30 to 2022-11-30, with Start_Date usable as a time-series index. The data are useful for urban planning, traffic and emissions modeling, exposure assessment, policy evaluation, and map-based visualizations."
